X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-55.2722219999999,-20.4775,1,00MS23CH2018,MS,,lotico,2,IMASUL,-20.4775,-55.272222,Rio Cachoeirão,2017,6,73.6666666666667,70.6,75.3,2.37711309505171,5.65066666666632
-55.110556,-20.6408329999999,2,00MS23CN2002,MS,,lotico,2,IMASUL,-20.640833,-55.110556,Rio Canastrão,2017,6,70.1666666666667,65.9,72.7,3.32425430234621,11.0506666666673
-56.1203,-21.4831,3,00MS23MI0602,MS,,lotico,0,IMASUL,-21.4831,-56.1203,Rio Miranda,2017,6,71.6333333333333,70.7,73,1.08197350552936,1.17066666666748
-56.399167,-20.240833,4,00MS23MI1292,MS,00MS23MI2292,lotico,1,IMASUL,-20.240833,-56.399167,Rio Miranda,2017,6,63.1666666666667,60.1,67.2,3.26231002001123,10.6426666666657
-57.3380559999999,-19.421389,5,00MS23MI2000,MS,,lotico,2,IMASUL,-19.421389,-57.338056,Rio Miranda,2017,6,70,61.6,75.2,6.56780024056765,43.1360000000005
-56.8149999999999,-19.783333,6,00MS23MI2147,MS,,lotico,2,IMASUL,-19.783333,-56815,Rio Miranda,2017,6,69.5666666666667,59.4,78.2,8.49109337286243,72.0986666666683
-56.8149999999999,-19.789167,7,00MS23MI2148,MS,,lotico,2,IMASUL,-19.789167,-56815,Rio Miranda,2017,6,67.3333333333333,60.9,72.8,5.37425963893317,28.882666666666
-56.09,-20.7633329999999,8,00MS23MI2444,MS,,lotico,2,IMASUL,-20.763333,-56.09,Rio Miranda,2017,6,66.6333333333333,64.7,70.2,2.76598385148329,7.65066666666632
-56.1294,-21.4666999999999,9,00MS23MI2601,MS,,lotico,2,IMASUL,-21.4667,-56.1294,Rio Miranda,2017,6,71.3,69.3,72.5,1.55948709516935,2.43199999999973
-56.493611,-20.2147219999999,10,00MS23SA2001,MS,,lotico,2,IMASUL,-20.214722,-56.493611,Rio Salobra,2017,6,63.7666666666667,54.1,68.8,7.48990431625581,56.0986666666674
-44.6480529999999,-22.494356,11,00RJ02AB0155,RJ,,lotico,12,INEA,-22.494356,-44.648053,Córrego Água Branca,2017,4,61.85,58.6,65.1,3.75277674973265,14.0833333333339
-42.514169,-22.2218,12,00RJ02BG0366,RJ,,lotico,12,INEA,-22.2218,-42.514169,Rio Bengala,2017,8,51.5,44.7,54.6,4.28085438735238,18.3257142857141
-44.196647,-22.518814,13,00RJ02BN0180,RJ,,lotico,2,INEA,-22.518814,-44.196647,Rio Bananal,2017,4,53.45,51.4,55.5,2.3671361036773,5.60333333333256
-42.5715749999999,-22.219061,14,00RJ02GR0361,RJ,,lotico,12,INEA,-22.219061,-42.571575,Rio Grande,2017,8,58.5,35.4,69.9,14.4623649518328,209.160000000001
-43.182539,-22.503911,15,00RJ02PB0002,RJ,,lotico,12,INEA,-22.503911,-43.182539,Rio Piabanha,2017,4,53.95,52.2,55.7,2.02072594216354,4.08333333333273
-43.143986,-22.126539,16,00RJ02PB0011,RJ,,lotico,12,INEA,-22.126539,-43.143986,Rio Piabanha,2017,4,70.65,69.6,71.7,1.21243556529769,1.46999999999874
-43.8269109999999,-22.467708,17,00RJ02PI0241,RJ,,lotico,12,INEA,-22.467708,-43.826911,Rio Piraí,2017,4,40.2,35.6,44.8,5.31162247654457,28.2133333333334
-43.14652778,-22.091917,18,00RJ02PN0270,RJ,,lotico,2,INEA,-22.091917,-43.14652778,Informação não disponível,2017,4,66.45,56.2,76.7,11.8356805183874,140.083333333335
-43.27661111,-22.012194,19,00RJ02PN0273,RJ,,lotico,2,INEA,-22.012194,-43.27661111,Informação não disponível,2017,4,63.55,56,71.1,8.71798906476335,76.0033333333334
