X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,ano,contagem,media,minimo,maximo,stddev,variancia
-55.2722219999999,-20.4775,1,00MS23CH2018,MS,,lotico,2,IMASUL,-20.4775,-55.272222,Rio Cachoeirão,2017,6,"73,67","70,60","75,30","2,38","5,65"
-55.110556,-20.6408329999999,2,00MS23CN2002,MS,,lotico,2,IMASUL,-20.640833,-55.110556,Rio Canastrão,2017,6,"70,17","65,90","72,70","3,32","11,05"
-56.1203,-21.4831,3,00MS23MI0602,MS,,lotico,0,IMASUL,-21.4831,-56.1203,Rio Miranda,2017,6,"71,63","70,70","73,00","1,08","1,17"
-56.399167,-20.240833,4,00MS23MI1292,MS,00MS23MI2292,lotico,1,IMASUL,-20.240833,-56.399167,Rio Miranda,2017,6,"63,17","60,10","67,20","3,26","10,64"
-57.3380559999999,-19.421389,5,00MS23MI2000,MS,,lotico,2,IMASUL,-19.421389,-57.338056,Rio Miranda,2017,6,"70,00","61,60","75,20","6,57","43,14"
-56.8149999999999,-19.783333,6,00MS23MI2147,MS,,lotico,2,IMASUL,-19.783333,-56815,Rio Miranda,2017,6,"69,57","59,40","78,20","8,49","72,10"
-56.8149999999999,-19.789167,7,00MS23MI2148,MS,,lotico,2,IMASUL,-19.789167,-56815,Rio Miranda,2017,6,"67,33","60,90","72,80","5,37","28,88"
-56.09,-20.7633329999999,8,00MS23MI2444,MS,,lotico,2,IMASUL,-20.763333,-56.09,Rio Miranda,2017,6,"66,63","64,70","70,20","2,77","7,65"
-56.1294,-21.4666999999999,9,00MS23MI2601,MS,,lotico,2,IMASUL,-21.4667,-56.1294,Rio Miranda,2017,6,"71,30","69,30","72,50","1,56","2,43"
-56.493611,-20.2147219999999,10,00MS23SA2001,MS,,lotico,2,IMASUL,-20.214722,-56.493611,Rio Salobra,2017,6,"63,77","54,10","68,80","7,49","56,10"
-44.6480529999999,-22.494356,11,00RJ02AB0155,RJ,,lotico,12,INEA,-22.494356,-44.648053,Córrego Água Branca,2017,4,"61,85","58,60","65,10","3,75","14,08"
-42.514169,-22.2218,12,00RJ02BG0366,RJ,,lotico,12,INEA,-22.2218,-42.514169,Rio Bengala,2017,8,"51,50","44,70","54,60","4,28","18,33"
-44.196647,-22.518814,13,00RJ02BN0180,RJ,,lotico,2,INEA,-22.518814,-44.196647,Rio Bananal,2017,4,"53,45","51,40","55,50","2,37","5,60"
-42.5715749999999,-22.219061,14,00RJ02GR0361,RJ,,lotico,12,INEA,-22.219061,-42.571575,Rio Grande,2017,8,"58,50","35,40","69,90","14,46","209,16"
-43.182539,-22.503911,15,00RJ02PB0002,RJ,,lotico,12,INEA,-22.503911,-43.182539,Rio Piabanha,2017,4,"53,95","52,20","55,70","2,02","4,08"
-43.143986,-22.126539,16,00RJ02PB0011,RJ,,lotico,12,INEA,-22.126539,-43.143986,Rio Piabanha,2017,4,"70,65","69,60","71,70","1,21","1,47"
-43.8269109999999,-22.467708,17,00RJ02PI0241,RJ,,lotico,12,INEA,-22.467708,-43.826911,Rio Piraí,2017,4,"40,20","35,60","44,80","5,31","28,21"
-43.14652778,-22.091917,18,00RJ02PN0270,RJ,,lotico,2,INEA,-22.091917,-43.14652778,Informação não disponível,2017,4,"66,45","56,20","76,70","11,84","140,08"
-43.27661111,-22.012194,19,00RJ02PN0273,RJ,,lotico,2,INEA,-22.012194,-43.27661111,Informação não disponível,2017,4,"63,55","56,00","71,10","8,72","76,00"
-44.4033029999999,-22.456272,20,00RJ02PP0160,RJ,,lotico,12,INEA,-22.456272,-44.403303,Rio Pirapetinga,2017,4,"64,05","61,40","66,70","3,06","9,36"
-43.9403169999999,-22.349867,21,00RJ02PQ0113,RJ,,lotico,12,INEA,-22.349867,-43.940317,Rio Paquequer,2017,8,"53975,00","49,80","56,00","2,66","7,05"
-43.9148749999999,-22.2487439999999,22,00RJ02PR0091,RJ,,lotico,12,INEA,-22.248744,-43.914875,Rio Preto,2017,8,"54125,00","41,70","62,70","8,20","67,24"
-44.5684939999999,-22.529033,23,00RJ02PS0410,RJ,,lentico,2,INEA,-22.529033,-44.568494,Rio Paraíba do Sul,2017,26,"69,51","62,10","77,20","5,09","25,86"
-44.4479249999999,-22.466897,24,00RJ02PS0413,RJ,,lotico,2,INEA,-22.466897,-44.447925,Rio Paraíba do Sul,2017,26,"55,75","48,70","64,90","5,89","34,70"
-44.300378,-22.4504689999999,25,00RJ02PS0415,RJ,,lotico,2,INEA,-22.450469,-44.300378,Rio Paraíba do Sul,2017,22,"63,38","56,60","72,50","5,16","26,58"
-44.1899529999999,-22.525772,26,00RJ02PS0418,RJ,,lotico,2,INEA,-22.525772,-44.189953,Rio Paraíba do Sul,2017,18,"58,83","52,50","65,00","3,89","15,11"
-44.133203,-22.5199689999999,27,00RJ02PS0419,RJ,,lotico,2,INEA,-22.519969,-44.133203,Rio Paraíba do Sul,2017,20,"58,87","50,10","65,00","5,45","29,69"
-44.0630189999999,-22.47845,28,00RJ02PS0421,RJ,,lotico,2,INEA,-22.47845,-44.063019,Rio Paraíba do Sul,2017,26,"57,93","52,00","64,90","3,52","12,38"
-43.9345779999999,-22.4990309999999,29,00RJ02PS0423,RJ,,lotico,2,INEA,-22.499031,-43.934578,Informação não disponível,2017,26,"59,77","52,00","69,00","5,83","34,02"
-43.827594,-22.464981,30,00RJ02PS0425,RJ,,lotico,2,INEA,-22.464981,-43.827594,Rio Paraíba do Sul,2017,26,"61,10","44,20","69,40","7,85","61,58"
-43.1694189999999,-22.105022,31,00RJ02PS0430,RJ,,lotico,2,INEA,-22.105022,-43.169419,Rio Paraíba do Sul,2017,24,"60,23","45,70","69,20","7,49","56,03"
-42.9963888899999,-22.0347219999999,32,00RJ02PS0431,RJ,,lotico,2,INEA,-22.034722,-42.99638889,Rio Paraíba do Sul,2017,30,"71,75","51,00","84,00","9,51","90,39"
-42.9099859999999,-21.990964,33,00RJ02PS0432,RJ,,lotico,2,INEA,-21.990964,-42.909986,Rio Paraíba do Sul,2017,26,"72,81","60,90","81,60","7,36","54,13"
-42.0829639999999,-21.666458,34,00RJ02PS0434,RJ,,lotico,2,INEA,-21.666458,-42.082964,Informação não disponível,2017,20,"73,26","57,60","80,20","8,31","68,98"
-41.1541666699999,-21.6291669999999,35,00RJ02PS0436,RJ,,lotico,3,INEA,-21.629167,-41.15416667,Informação não disponível,2017,22,"69,59","58,50","75,60","5,73","32,85"
-41.7458329999999,-21.6433329999999,36,00RJ02PS0439,RJ,,lotico,2,INEA,-21.643333,-41.745833,Informação não disponível,2017,20,"67,65","59,70","74,90","5,77","33,29"
-41.3305559999999,-21.7444439999999,37,00RJ02PS0441,RJ,,lotico,3,INEA,-21.744444,-41.330556,Informação não disponível,2017,18,"72,26","67,20","79,50","4,49","20,13"
-44.6143527799999,-22.3294638899999,38,00RJ02PT0001,RJ,,lotico,1,INEA,-22.32946389,-44.61435278,Rio Preto,2017,4,"83,65","82,50","84,80","1,33","1,76"
